name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,brand,car_age,selling_price
Maruti Omni E MPI STD BS IV,2018,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8,Maruti,8,254999
Maruti Vitara Brezza LDi Option,2017,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,Maruti,9,670000
Fiat Palio 1.2 ELX,2003,50000,Petrol,Individual,Manual,Second Owner,19.3,1248.0,82.0,5,Fiat,23,70000
Maruti Omni 8 Seater BSIV,2012,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5,Maruti,14,150000
Hyundai i20 1.2 Asta Dual Tone,2018,2388,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5,Hyundai,8,730000
Maruti Vitara Brezza LDi,2017,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,Maruti,9,650000
Maruti Alto 800 CNG LXI Optional,2019,10000,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,4,Maruti,7,330000
Maruti Alto K10 VXI Airbag,2019,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5,Maruti,7,366000
Hyundai Verna VTVT 1.6 SX Option,2019,5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5,Hyundai,7,1149000
Datsun GO D,2016,42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5,Datsun,10,150000
Tata Safari DICOR 2.2 LX 4x2,2011,60000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7,Tata,15,425000
Maruti 800 Std,2012,76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4,Maruti,14,150000
Jeep Compass 1.4 Limited Plus BSIV,2019,5000,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5,Jeep,7,2100000
Honda City i VTEC VX,2018,28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5,Honda,8,925000
Honda City V MT,2013,86300,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5,Honda,13,425000
Maruti Swift Dzire VXi AT,2018,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5,Maruti,8,675000
Maruti Vitara Brezza VDi,2018,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5,Maruti,8,819999
Maruti Alto K10 VXI,2018,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5,Maruti,8,390000
Toyota Fortuner 4x4 MT,2014,77000,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7,Toyota,12,1500000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7,Toyota,13,700000
Mercedes-Benz B Class B180,2014,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5,Mercedes-Benz,12,1450000
Honda Amaze S Diesel,2015,49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5,Honda,11,425000
Mitsubishi Pajero Sport 4X4,2013,151000,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7,Mitsubishi,13,1090000
Honda City i DTEC S,2015,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5,Honda,11,600000
Maruti Ciaz Zeta,2018,64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5,Maruti,8,850000
Honda Jazz VX Diesel,2015,63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5,Honda,11,525000
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7,Toyota,10,1650000
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7,Toyota,10,950000
Audi A6 2.0 TDI Technology,2013,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5,Audi,13,1750000
Toyota Corolla Altis 1.8 VL CVT,2018,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5,Toyota,8,1590000
Audi A6 2.0 TDI  Design Edition,2013,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5,Audi,13,1689999
Mercedes-Benz New C-Class 220 CDI AT,2013,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,5,Mercedes-Benz,13,1425000
Tata Manza ELAN Quadrajet BS IV,2011,120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5,Tata,15,265000
Hyundai i10 Magna,2011,110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5,Hyundai,15,190000
Hyundai i20 Asta 1.4 CRDi,2013,60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5,Hyundai,13,425000
Maruti Swift Dzire ZDI,2015,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5,Maruti,11,630000
Ford Figo 1.2P Titanium MT,2017,25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5,Ford,9,600000
Maruti Baleno Delta 1.2,2019,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5,Maruti,7,650000
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5,Volkswagen,10,540000
Honda City i DTEC VX,2015,135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5,Honda,11,630000
Maruti Wagon R AMT VXI,2018,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5,Maruti,8,448000
Volkswagen Ameo 1.5 TDI Comfortline,2017,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5,Volkswagen,9,500000
Maruti Vitara Brezza VDi,2016,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,Maruti,10,745000
Maruti Vitara Brezza ZDi Plus AMT,2019,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5,Maruti,7,1025000
Hyundai i10 Magna,2011,60000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5,Hyundai,15,235000
Maruti Swift VDI Deca,2016,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5,Maruti,10,630000
Toyota Fortuner 4x4 MT,2015,78000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7,Toyota,11,1700000
Maruti Swift Star VDI,2013,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5,Maruti,13,450000
Maruti Ertiga ZXI,2012,120000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7,Maruti,14,450000
Tata Indica DLS,2003,70000,Diesel,Individual,Manual,First Owner,19.3,1248.0,82.0,5,Tata,23,50000
Volkswagen Vento Diesel Highline,2013,170000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5,Volkswagen,13,450000
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,140000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8,Toyota,10,1200000
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5,Ford,11,610000
BMW X1 sDrive20i xLine,2016,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,5,BMW,10,2500000
Maruti Celerio ZXI MT BSIV,2017,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5,Maruti,9,484999
Datsun GO A Petrol,2016,49000,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5,Datsun,10,275000
Maruti Alto 800 VXI BSIV,2016,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5,Maruti,10,315000
Maruti Alto 800 LXI BSIV,2016,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5,Maruti,10,275000
Maruti Swift VDI BSIV W ABS,2015,78000,Diesel,Dealer,Manual,First Owner,19.3,1248.0,82.0,5,Maruti,11,475000
Hyundai i10 Era 1.1,2012,28000,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5,Hyundai,14,290000
Maruti Omni 8 Seater BSIV,2017,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5,Maruti,9,280000
Maruti Wagon R LXI LPG BSIV,2010,44000,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,5,Maruti,16,225000
Volkswagen Polo 1.2 MPI Comfortline,2015,42000,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5,Volkswagen,11,455000
Hyundai i10 Magna 1.1L,2015,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5,Hyundai,11,351000
Volkswagen Vento Petrol Highline,2012,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5,Volkswagen,14,535000
Maruti Zen Estilo LXI BSIII,2009,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5,Maruti,17,175000
Hyundai i20 Asta Optional with Sunroof 1.2,2013,61500,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5,Hyundai,13,525000
Maruti Swift Dzire LDI,2016,150000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5,Maruti,10,600000
Hyundai Xcent 1.2 Kappa SX Option AT,2016,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5,Hyundai,10,565000
Maruti Alto LX BSIII,2008,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5,Maruti,18,120000
Hyundai i20 1.4 Asta Option,2017,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5,Hyundai,9,725000
Maruti Wagon R VXI,2009,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5,Maruti,17,185000
Tata Manza Aura (ABS) Quadrajet,2010,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5,Tata,16,200000
Maruti Swift VXI,2019,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5,Maruti,7,615000
Maruti Eeco 7 Seater Standard BSIV,2016,100000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,7,Maruti,10,270000
Maruti Baleno Zeta 1.2,2018,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5,Maruti,8,610000
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8,Mahindra,12,625000
Ford Freestyle Titanium Petrol BSIV,2020,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5,Ford,6,400000
Hyundai Verna VTVT 1.6 SX,2017,37800,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5,Hyundai,9,866000
Volkswagen Passat 1.8 TSI MT,2010,114000,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,5,Volkswagen,16,700000
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,48000,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5,Tata,16,300000
Mahindra XUV500 W11 Option AWD,2019,32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,7,Mahindra,7,1700000
Tata Indigo CS LS (TDI) BS-III,2016,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5,Tata,10,375000
Hyundai Verna 1.6 SX,2013,150000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5,Hyundai,13,522000
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5,Hyundai,13,451999
Toyota Corolla Altis G,2009,100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5,Toyota,17,300000
Maruti Celerio VXI,2020,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5,Maruti,6,475000
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,Maruti,10,780000
Maruti Swift Dzire VXI,2017,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5,Maruti,9,595000
Maruti Wagon R VXI BS IV,2017,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5,Maruti,9,440000
Maruti Swift VDI BSIV,2010,120000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,82.0,5,Maruti,16,300000
Nissan Terrano XL 85 PS,2014,70000,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5,Nissan,12,400000
Hyundai Creta 1.6 CRDi SX,2016,50000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5,Hyundai,10,1140000
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,76139,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5,Ford,9,850000
Maruti Swift Dzire VDi,2012,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5,Maruti,14,370000
Renault KWID 1.0,2018,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5,Renault,8,350000
Maruti Celerio VXI,2015,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5,Maruti,11,360000
Maruti Alto LXi,2008,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5,Maruti,18,105000
Maruti Ertiga VDI,2013,90000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7,Maruti,13,625000
Hyundai Santro Xing GLS,2009,80000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5,Hyundai,17,135000
Maruti Ertiga VDI,2015,110000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7,Maruti,11,700000
Honda Amaze S i-VTEC,2019,1303,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5,Honda,7,690000
Audi Q5 35TDI Premium Plus,2018,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,5,Audi,8,3975000
Lexus ES 300h,2019,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,5,Lexus,7,5150000
Jaguar XF 2.0 Diesel Portfolio,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5,Jaguar,9,3200000
Jeep Wrangler 2016-2019 3.6 4X4,2017,17000,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,5,Jeep,9,4100000
Land Rover Discovery Sport TD4 SE,2019,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,7,Land,7,4500000
Mercedes-Benz S-Class S 350 CDI,2017,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,5,Mercedes-Benz,9,6000000
BMW 5 Series 520d Sport Line,2018,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5,BMW,8,3790000
BMW X1 sDrive 20D xLine,2017,27000,Diesel,Dealer,Automatic,First Owner,19.3,1248.0,82.0,5,BMW,9,2150000
BMW X4 M Sport X xDrive20d,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5,BMW,7,5800000
Skoda Superb LK 1.8 TSI AT,2018,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5,Skoda,8,1864999
Mercedes-Benz E-Class E250 Edition E,2016,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,5,Mercedes-Benz,10,2700000
MG Hector Sharp AT BSIV,2019,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5,MG,7,1750000
Honda City i-VTEC CVT VX,2017,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5,Honda,9,795000
Toyota Corolla Altis 1.8 G CVT,2013,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5,Toyota,13,625000
Volvo XC40 D4 R-Design,2018,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,5,Volvo,8,3400000
Audi Q7 35 TDI Quattro Premium,2015,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,7,Audi,11,2650000
Maruti Ciaz ZDi,2015,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5,Maruti,11,535000
Mercedes-Benz S-Class S 350 CDI,2017,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,282.0,5,Mercedes-Benz,9,5850000
BMW 5 Series 523i,2010,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,5,BMW,16,975000
Hyundai Elantra S,2016,49900,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,5,Hyundai,10,805000
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5,Jaguar,9,2625000
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5,Tata,8,811000
Volkswagen Vento Petrol Highline,2011,49000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5,Volkswagen,15,375000
Hyundai Elantra SX,2012,95000,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,5,Hyundai,14,550000
Skoda Rapid 1.6 MPI AT Elegance,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5,Skoda,10,645000
Mercedes-Benz CLA 200 CGI Sport,2018,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,5,Mercedes-Benz,8,2550000
Maruti Ertiga ZXI,2014,46100,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,7,Maruti,12,599000
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,5,Mercedes-Benz,9,2700000
Honda City V AT,2017,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5,Honda,9,875000
Toyota Glanza V CVT,2019,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5,Toyota,7,894999
Maruti Alto K10 VXI,2011,11000,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5,Maruti,15,175000
Maruti Swift VXI,2012,24300,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5,Maruti,14,340000
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7,Toyota,10,1525000
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5,Tata,8,1025000
BMW 3 Series 320d Luxury Line,2016,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5,BMW,10,2150000
Toyota Camry 2.5 Hybrid,2016,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,5,Toyota,10,1900000
BMW 5 Series 520d Luxury Line,2016,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,5,BMW,10,2900000
Toyota Camry W4 (AT),2009,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362.0,164.7,5,Toyota,17,450000
Maruti Ertiga BSIV ZXI Plus,2016,20000,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,7,Maruti,10,850000
Volvo XC90 T8 Excellence BSIV,2017,30000,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,4,Volvo,9,10000000
Volkswagen Vento Diesel Highline,2011,100000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5,Volkswagen,15,300000
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,9500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5,Ford,8,575000
Ford Figo Diesel LXI,2011,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5,Ford,15,160000
Maruti Swift VXI Optional,2015,36600,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5,Maruti,11,515000
Maruti Wagon R AMT VXI,2015,50000,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5,Maruti,11,390000
Hyundai i20 Magna 1.2,2016,14000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5,Hyundai,10,550000
Maruti 800 Std,1999,40000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4,Maruti,27,40000
Maruti Ritz VDi,2010,120000,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5,Maruti,16,220000
Hyundai Grand i10 Magna,2015,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5,Hyundai,11,425000
Volkswagen Ameo 1.0 MPI Trendline,2019,13000,Petrol,Individual,Manual,First Owner,19.44,999.0,75.0,5,Volkswagen,7,480000
Hyundai Grand i10 Sportz,2014,60000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5,Hyundai,12,400000
Maruti Swift Dzire VXI,2014,35000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5,Maruti,12,487000
Hyundai Xcent 1.2 Kappa S,2016,44000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,5,Hyundai,10,386000
Honda City 1.5 EXI,2005,120000,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,5,Honda,21,100000
Toyota Corolla Altis Diesel D4DG,2010,60000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5,Toyota,16,300000
Daewoo Matiz SD,2000,60000,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5,Daewoo,26,100000
Toyota Fortuner 4x2 Manual,2014,30000,Diesel,Individual,Manual,Second Owner,13.0,2982.0,168.5,7,Toyota,12,1750000
Mahindra KUV 100 mFALCON G80 K8,2016,15000,Petrol,Individual,Manual,Second Owner,18.15,1198.0,82.0,6,Mahindra,10,450000
Tata Zest Quadrajet 1.3 75PS XM,2017,90000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5,Tata,9,490000
Honda City 1.5 S MT,2009,47000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5,Honda,17,345000
Maruti Zen LXI,2005,90000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5,Maruti,21,85000
Maruti Wagon R VXI BS IV with ABS,2010,120600,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5,Maruti,16,215000
Hyundai Verna Transform SX VTVT,2010,100000,Petrol,Individual,Manual,Third Owner,16.2,1599.0,103.2,5,Hyundai,16,320000
Maruti Swift Dzire VXI,2016,60000,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,5,Maruti,10,459999
Hyundai Getz GLS,2005,86000,Petrol,Individual,Manual,First Owner,15.3,1341.0,83.0,5,Hyundai,21,65000
Hyundai Elite i20 Sportz Plus BSIV,2020,5000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5,Hyundai,6,720000
Maruti Ciaz 1.3 Alpha,2017,37000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5,Maruti,9,800000
Tata Tigor 1.2 Revotron XZ,2019,14000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,5,Tata,7,520000
Maruti Ertiga VDI,2015,70000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7,Maruti,11,580000
Toyota Etios GD,2012,120000,Diesel,Individual,Manual,First Owner,19.3,1248.0,82.0,5,Toyota,14,235000
Honda City i VTEC S,2015,50000,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,5,Honda,11,600000
Honda Brio S MT,2014,60000,Petrol,Individual,Manual,Second Owner,19.4,1198.0,86.8,5,Honda,12,290000
Maruti Wagon R LXI CNG,2016,50000,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,5,Maruti,10,360000
Maruti Swift Dzire VXI,2017,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5,Maruti,9,550000
